"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16468","@functional Register with invalid email format","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","16471","@functional Navigate to contact us","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","609","@functional Verify logo is visible","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","578","@smoke Product page accessible","chromium","2026-04-28","passed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","579","@regression Product page navigation","chromium","2026-04-28","passed","2026-04-28","End-to-End Tests","regression/e2e.spec.js","",""
"","523","@functional View cart contents","chromium","2026-04-28","passed","2026-04-28","Shopping Cart Tests","functional/shoppingCart.spec.js","",""
"","16537","@functional Verify welcome message is displayed","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","16466","@smoke Navigate to Login page from homepage","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","16470","@functional Navigate to about us","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","480","@smoke Cart page accessible","chromium","2026-04-28","passed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","16461","@functional Navigate to shipping & returns","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","507","@performance Measure TTFB","chromium","2026-04-28","passed","2026-04-28","Performance Tests","performance/performance.spec.js","",""
"","16285","@functional Add first search result to cart","chromium","2026-04-28","failed","2026-04-28","Search Functionality Tests","functional/search.spec.js","",""
"","16515","@functional Verify checkout button appears when cart has items","chromium","2026-04-28","failed","2026-04-28","Checkout Process Tests","functional/checkout.spec.js","",""
"","16503","@functional Search for valid product","chromium","2026-04-28","failed","2026-04-28","Search Functionality Tests","functional/search.spec.js","",""
"","575","@functional Verify add to wishlist button is visible","chromium","2026-04-28","failed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","521","@functional Verify footer links are displayed","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","16483","@functional Navigate to sitemap","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","483","@smoke Verify product page loads","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","16505","@regression Search functionality","chromium","2026-04-28","failed","2026-04-28","End-to-End Tests","regression/e2e.spec.js","",""
"","485","@smoke Login page accessible","chromium","2026-04-28","passed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","586","@smoke Verify featured products are displayed","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","515","@performance Measure homepage load time","chromium","2026-04-28","passed","2026-04-28","Performance Tests","performance/performance.spec.js","",""
"","558","@functional Verify social media links are visible","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","625","@security CSRF token present in forms","chromium","2026-04-28","failed","2026-04-28","Security Tests","security/security.spec.js","",""
"","436","@functional Navigate to electronics category","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","463","@performance Measure product page load time","chromium","2026-04-28","passed","2026-04-28","Performance Tests","performance/performance.spec.js","",""
"","16465","@functional Navigate to news page","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","563","@functional Verify footer is visible","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","16487","@functional Register with mismatched passwords","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","492","@functional View Gift Card product","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","546","@performance Verify page has no console errors","chromium","2026-04-28","failed","2026-04-28","Performance Tests","performance/performance.spec.js","",""
"","16281","@functional Navigate to Apparel category","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","16485","@smoke Footer links are accessible","chromium","2026-04-28","failed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","16495","@regression Browse products by category","chromium","2026-04-28","failed","2026-04-28","End-to-End Tests","regression/e2e.spec.js","",""
"","11227","@smoke Homepage loads without errors","chromium","2026-04-28","failed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","11010","@functional Verify homepage loads correctly","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","497","@functional Navigate to computers category","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","548","@functional Navigate through breadcrumb","chromium","2026-04-28","failed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","476","@security HTTPS on login page","chromium","2026-04-28","passed","2026-04-28","Security Tests","security/security.spec.js","",""
"","557","@functional Verify header is visible","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","16464","@smoke Navigate to Register page from homepage","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","16281","@functional Register with short password","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","16611","@regression User registration works","chromium","2026-04-28","failed","2026-04-28","End-to-End Tests","regression/e2e.spec.js","",""
"","16488","@functional View wishlist page","chromium","2026-04-28","failed","2026-04-28","Wishlist Tests","functional/wishlist.spec.js","",""
"","16461","@functional Search returns results page","chromium","2026-04-28","failed","2026-04-28","Search Functionality Tests","functional/search.spec.js","",""
"","439","@performance Measure login page load time","chromium","2026-04-28","passed","2026-04-28","Performance Tests","performance/performance.spec.js","",""
"","16241","@functional Navigate to conditions of use","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
